Hard Drive,Price
250GB,
Seagate DB 3.4 250 GB Desktop,1750
Seagate 250 GB Desktop,3200
Seagate Sata 250 GB Desktop,1825
Samsung 840 EVO 250 GB Desktop SSD,9633
WD Green Power 250 GB Desktop,1990
,
500GB,
WD Caviar Blue 500 GB Desktop,3590
Seagate Pipeline HD 500 GB,2965
Samsung 840 EVO 500 GB SSD,18499
Toshiba 500 GB,3300
HP SATA 500 GB,3300
,
1TB,
Seagate Barracuda 1 TB,3922
WD Blue WD10EZEX 1 TB,4200
Toshiba 1 TB,3699
Samsung 840 EVO 1 TB SSD,29398
WD 1 TB,5300
,
2TB,
WD Caviar Green 2 TB,5849
Seagate Barracuda 2 TB ,5865
WD 2 TB,7500
WD 2 TB,6289
WD 2 TB Black,10500
