Processors,Price
Intel i3,
Intel 3.2 GHz LGA 1156 Core i3-550 Processor,6950
Intel 3.3 GHz LGA 1155 Core i3 3220 Processor,6899
Intel 3.4GHz LGA 1150 i3 4130 Processor,7730
Intel 3.5GHz LGA 1150 Core i3 4330 Processor,11499
,
Intel i5,
Intel 3.2 GHz LGA 1150 i5-4460 (BX80646I54460) Processor,13399
Intel 3.3 GHz LGA 1150 Core i5-4590 Processor,15499
Intel 3.4 GHz LGA 1150 4670K i5 4th Generation Processor,17303
Intel 3.5 GHz i5 4690K Processor,17288
,
Intel i7,
Intel 3.2 GHz LGA 2011 Core i7-3930K Processor,42365
Intel 3.3 Ghz LGA 2011 i7-5820K Processor,29700
Intel 3.4 GHz LGA 1150 Core i7-4770 Processor,21520
Intel 3.5 GHz LGA 1155 Core i7 3770K Processor,34999
,
AMD,
AMD 3.5 AM3+ FX 6-Core Edition FX-6300 Processor,7229
AMD 4 GHz AM3+ FX-4300 FX-Series Four-Core Edition Processor,5575
AMD FX 8350,12800
AMD 3.5 GHz FX 8320 8 Core Processor Black Edition,10349
